County,Agency Name,Adult Or Juvenile,Agency Name,County,,Drug Sale - Opium/Cocaine,Drug Sale - Marijuana,Drug Sale - Synthetic,Drug Sale - Other Dangerous,Drug Possession - Opium/Cocaine,Drug Possession - Marijuana,Drug Possession - Synthetic,Drug Possession - Other Dangerous,Drug - Unknown
La Crosse,Bangor PD,Total,Bangor PD,La Crosse,Arrest Count,0,0,0,0,0,3,0,1,0
La Crosse,Bangor PD,Total,Bangor PD,La Crosse,Min. Months Submitted,12,12,12,12,12,12,12,12,12
La Crosse,Bangor PD,Total,Bangor PD,La Crosse,Min. year of year,2018,2018,2018,2018,2018,2018,2018,2018,2018
La Crosse,Campbell PD,Total,Campbell PD,La Crosse,Arrest Count,0,0,0,4,2,11,0,5,0
La Crosse,Campbell PD,Total,Campbell PD,La Crosse,Min. Months Submitted,12,12,12,12,12,12,12,12,12
La Crosse,Campbell PD,Total,Campbell PD,La Crosse,Min. year of year,2018,2018,2018,2018,2018,2018,2018,2018,2018
La Crosse,Holmen PD,Total,Holmen PD,La Crosse,Arrest Count,0,0,0,0,0,25,0,7,0
La Crosse,Holmen PD,Total,Holmen PD,La Crosse,Min. Months Submitted,12,12,12,12,12,12,12,12,12
La Crosse,Holmen PD,Total,Holmen PD,La Crosse,Min. year of year,2018,2018,2018,2018,2018,2018,2018,2018,2018
La Crosse,La Crosse Co SO,Total,La Crosse Co SO,La Crosse,Arrest Count,6,0,0,0,12,61,1,33,1
La Crosse,La Crosse Co SO,Total,La Crosse Co SO,La Crosse,Min. Months Submitted,12,12,12,12,12,12,12,12,12
La Crosse,La Crosse Co SO,Total,La Crosse Co SO,La Crosse,Min. year of year,2018,2018,2018,2018,2018,2018,2018,2018,2018
La Crosse,La Crosse PD,Total,La Crosse PD,La Crosse,Arrest Count,38,8,0,27,71,312,16,216,0
La Crosse,La Crosse PD,Total,La Crosse PD,La Crosse,Min. Months Submitted,12,12,12,12,12,12,12,12,12
La Crosse,La Crosse PD,Total,La Crosse PD,La Crosse,Min. year of year,2018,2018,2018,2018,2018,2018,2018,2018,2018
La Crosse,Onalaska PD,Total,Onalaska PD,La Crosse,Arrest Count,0,2,1,0,3,37,5,26,0
La Crosse,Onalaska PD,Total,Onalaska PD,La Crosse,Min. Months Submitted,12,12,12,12,12,12,12,12,12
La Crosse,Onalaska PD,Total,Onalaska PD,La Crosse,Min. year of year,2018,2018,2018,2018,2018,2018,2018,2018,2018
La Crosse,UW-La Crosse PD,Total,UW-La Crosse PD,La Crosse,Arrest Count,0,0,0,0,1,71,1,0,0
La Crosse,UW-La Crosse PD,Total,UW-La Crosse PD,La Crosse,Min. Months Submitted,12,12,12,12,12,12,12,12,12
La Crosse,UW-La Crosse PD,Total,UW-La Crosse PD,La Crosse,Min. year of year,2018,2018,2018,2018,2018,2018,2018,2018,2018
La Crosse,West Salem PD,Total,West Salem PD,La Crosse,Arrest Count,0,0,0,0,2,6,5,1,0
La Crosse,West Salem PD,Total,West Salem PD,La Crosse,Min. Months Submitted,12,12,12,12,12,12,12,12,12
La Crosse,West Salem PD,Total,West Salem PD,La Crosse,Min. year of year,2018,2018,2018,2018,2018,2018,2018,2018,2018
La Crosse,Total,Total,Total,Total,Arrest Count,44,10,1,31,91,526,28,289,1
La Crosse,Total,Total,Total,Total,Min. Months Submitted,12,12,12,12,12,12,12,12,12
La Crosse,Total,Total,Total,Total,Min. year of year,2018,2018,2018,2018,2018,2018,2018,2018,2018
