County,Agency Name,Adult Or Juvenile,Agency Name,County,,Drug Sale - Opium/Cocaine,Drug Sale - Marijuana,Drug Sale - Synthetic,Drug Sale - Other Dangerous,Drug Possession - Opium/Cocaine,Drug Possession - Marijuana,Drug Possession - Synthetic,Drug Possession - Other Dangerous,Drug - Unknown
La Crosse,Bangor PD,Total,Bangor PD,La Crosse,Arrest Count,0,0,0,0,0,3,0,1,0
La Crosse,Bangor PD,Total,Bangor PD,La Crosse,Min. Months Submitted,12,12,12,12,12,12,12,12,12
La Crosse,Bangor PD,Total,Bangor PD,La Crosse,Min. year of year,2021,2021,2021,2021,2021,2021,2021,2021,2021
La Crosse,Campbell PD,Total,Campbell PD,La Crosse,Arrest Count,1,0,1,1,4,5,1,5,0
La Crosse,Campbell PD,Total,Campbell PD,La Crosse,Min. Months Submitted,12,12,12,12,12,12,12,12,12
La Crosse,Campbell PD,Total,Campbell PD,La Crosse,Min. year of year,2021,2021,2021,2021,2021,2021,2021,2021,2021
La Crosse,Holmen PD,Total,Holmen PD,La Crosse,Arrest Count,2,0,0,1,1,24,0,2,0
La Crosse,Holmen PD,Total,Holmen PD,La Crosse,Min. Months Submitted,12,12,12,12,12,12,12,12,12
La Crosse,Holmen PD,Total,Holmen PD,La Crosse,Min. year of year,2021,2021,2021,2021,2021,2021,2021,2021,2021
La Crosse,La Crosse Co SO,Total,La Crosse Co SO,La Crosse,Arrest Count,3,0,0,2,7,22,0,19,1
La Crosse,La Crosse Co SO,Total,La Crosse Co SO,La Crosse,Min. Months Submitted,12,12,12,12,12,12,12,12,12
La Crosse,La Crosse Co SO,Total,La Crosse Co SO,La Crosse,Min. year of year,2021,2021,2021,2021,2021,2021,2021,2021,2021
La Crosse,La Crosse PD,Total,La Crosse PD,La Crosse,Arrest Count,7,4,9,20,71,139,5,111,2
La Crosse,La Crosse PD,Total,La Crosse PD,La Crosse,Min. Months Submitted,12,12,12,12,12,12,12,12,12
La Crosse,La Crosse PD,Total,La Crosse PD,La Crosse,Min. year of year,2021,2021,2021,2021,2021,2021,2021,2021,2021
La Crosse,Onalaska PD,Total,Onalaska PD,La Crosse,Arrest Count,1,0,0,1,3,12,0,20,0
La Crosse,Onalaska PD,Total,Onalaska PD,La Crosse,Min. Months Submitted,12,12,12,12,12,12,12,12,12
La Crosse,Onalaska PD,Total,Onalaska PD,La Crosse,Min. year of year,2021,2021,2021,2021,2021,2021,2021,2021,2021
La Crosse,UW-La Crosse PD,Total,UW-La Crosse PD,La Crosse,Arrest Count,0,0,0,0,0,32,0,0,0
La Crosse,UW-La Crosse PD,Total,UW-La Crosse PD,La Crosse,Min. Months Submitted,12,12,12,12,12,12,12,12,12
La Crosse,UW-La Crosse PD,Total,UW-La Crosse PD,La Crosse,Min. year of year,2021,2021,2021,2021,2021,2021,2021,2021,2021
La Crosse,West Salem PD,Total,West Salem PD,La Crosse,Arrest Count,0,0,0,0,3,23,0,17,0
La Crosse,West Salem PD,Total,West Salem PD,La Crosse,Min. Months Submitted,12,12,12,12,12,12,12,12,12
La Crosse,West Salem PD,Total,West Salem PD,La Crosse,Min. year of year,2021,2021,2021,2021,2021,2021,2021,2021,2021
La Crosse,Total,Total,Total,Total,Arrest Count,14,4,10,25,89,260,6,175,3
La Crosse,Total,Total,Total,Total,Min. Months Submitted,12,12,12,12,12,12,12,12,12
La Crosse,Total,Total,Total,Total,Min. year of year,2021,2021,2021,2021,2021,2021,2021,2021,2021
