County,Agency Name,Adult Or Juvenile,Agency Name,County,,Drug Sale - Opium/Cocaine,Drug Sale - Marijuana,Drug Sale - Synthetic,Drug Sale - Other Dangerous,Drug Possession - Opium/Cocaine,Drug Possession - Marijuana,Drug Possession - Synthetic,Drug Possession - Other Dangerous,Drug - Unknown
La Crosse,Bangor PD,Total,Bangor PD,La Crosse,Arrest Count,0,0,0,0,0,8,0,0,0
La Crosse,Bangor PD,Total,Bangor PD,La Crosse,Min. Months Submitted,12,12,12,12,12,12,12,12,12
La Crosse,Bangor PD,Total,Bangor PD,La Crosse,Min. year of year,2022,2022,2022,2022,2022,2022,2022,2022,2022
La Crosse,Campbell PD,Total,Campbell PD,La Crosse,Arrest Count,0,0,0,3,5,5,1,11,0
La Crosse,Campbell PD,Total,Campbell PD,La Crosse,Min. Months Submitted,12,12,12,12,12,12,12,12,12
La Crosse,Campbell PD,Total,Campbell PD,La Crosse,Min. year of year,2022,2022,2022,2022,2022,2022,2022,2022,2022
La Crosse,Holmen PD,Total,Holmen PD,La Crosse,Arrest Count,1,3,0,0,3,23,0,4,0
La Crosse,Holmen PD,Total,Holmen PD,La Crosse,Min. Months Submitted,12,12,12,12,12,12,12,12,12
La Crosse,Holmen PD,Total,Holmen PD,La Crosse,Min. year of year,2022,2022,2022,2022,2022,2022,2022,2022,2022
La Crosse,La Crosse Co SO,Total,La Crosse Co SO,La Crosse,Arrest Count,0,0,1,0,2,10,1,11,0
La Crosse,La Crosse Co SO,Total,La Crosse Co SO,La Crosse,Min. Months Submitted,12,12,12,12,12,12,12,12,12
La Crosse,La Crosse Co SO,Total,La Crosse Co SO,La Crosse,Min. year of year,2022,2022,2022,2022,2022,2022,2022,2022,2022
La Crosse,La Crosse PD,Total,La Crosse PD,La Crosse,Arrest Count,7,2,6,18,44,181,12,106,0
La Crosse,La Crosse PD,Total,La Crosse PD,La Crosse,Min. Months Submitted,12,12,12,12,12,12,12,12,12
La Crosse,La Crosse PD,Total,La Crosse PD,La Crosse,Min. year of year,2022,2022,2022,2022,2022,2022,2022,2022,2022
La Crosse,Onalaska PD,Total,Onalaska PD,La Crosse,Arrest Count,3,2,0,1,4,22,3,19,0
La Crosse,Onalaska PD,Total,Onalaska PD,La Crosse,Min. Months Submitted,12,12,12,12,12,12,12,12,12
La Crosse,Onalaska PD,Total,Onalaska PD,La Crosse,Min. year of year,2022,2022,2022,2022,2022,2022,2022,2022,2022
La Crosse,UW-La Crosse PD,Total,UW-La Crosse PD,La Crosse,Arrest Count,0,0,0,0,0,3,0,0,0
La Crosse,UW-La Crosse PD,Total,UW-La Crosse PD,La Crosse,Min. Months Submitted,12,12,12,12,12,12,12,12,12
La Crosse,UW-La Crosse PD,Total,UW-La Crosse PD,La Crosse,Min. year of year,2022,2022,2022,2022,2022,2022,2022,2022,2022
La Crosse,West Salem PD,Total,West Salem PD,La Crosse,Arrest Count,0,0,0,0,0,17,3,7,0
La Crosse,West Salem PD,Total,West Salem PD,La Crosse,Min. Months Submitted,12,12,12,12,12,12,12,12,12
La Crosse,West Salem PD,Total,West Salem PD,La Crosse,Min. year of year,2022,2022,2022,2022,2022,2022,2022,2022,2022
La Crosse,Total,Total,Total,Total,Arrest Count,11,7,7,22,58,269,20,158,0
La Crosse,Total,Total,Total,Total,Min. Months Submitted,12,12,12,12,12,12,12,12,12
La Crosse,Total,Total,Total,Total,Min. year of year,2022,2022,2022,2022,2022,2022,2022,2022,2022
